index,gene_id
0,ENSMUSG00000000001
1,ENSMUSG00000000003
2,ENSMUSG00000000028
3,ENSMUSG00000000031
4,ENSMUSG00000000037
5,ENSMUSG00000000049
6,ENSMUSG00000000056
7,ENSMUSG00000000058
8,ENSMUSG00000000078
9,ENSMUSG00000000085
10,ENSMUSG00000000088
11,ENSMUSG00000000093
12,ENSMUSG00000000094
13,ENSMUSG00000000103
14,ENSMUSG00000000120
15,ENSMUSG00000000125
16,ENSMUSG00000000126
17,ENSMUSG00000000127
18,ENSMUSG00000000131
19,ENSMUSG00000000134
20,ENSMUSG00000000142
21,ENSMUSG00000000148
22,ENSMUSG00000000149
23,ENSMUSG00000000154
24,ENSMUSG00000000157
25,ENSMUSG00000000159
26,ENSMUSG00000000167
27,ENSMUSG00000000168
28,ENSMUSG00000000171
29,ENSMUSG00000000182
30,ENSMUSG00000000183
31,ENSMUSG00000000184
32,ENSMUSG00000000194
33,ENSMUSG00000000197
34,ENSMUSG00000000202
35,ENSMUSG00000000204
36,ENSMUSG00000000214
37,ENSMUSG00000000215
38,ENSMUSG00000000216
39,ENSMUSG00000000223
40,ENSMUSG00000000244
41,ENSMUSG00000000247
42,ENSMUSG00000000248
43,ENSMUSG00000000253
44,ENSMUSG00000000263
45,ENSMUSG00000000266
46,ENSMUSG00000000275
47,ENSMUSG00000000276
48,ENSMUSG00000000278
49,ENSMUSG00000000282
50,ENSMUSG00000000290
51,ENSMUSG00000000295
52,ENSMUSG00000000296
53,ENSMUSG00000000301
54,ENSMUSG00000000303
55,ENSMUSG00000000305
56,ENSMUSG00000000308
57,ENSMUSG00000000317
58,ENSMUSG00000000318
59,ENSMUSG00000000320
60,ENSMUSG00000000325
61,ENSMUSG00000000326
62,ENSMUSG00000000339
63,ENSMUSG00000000340
64,ENSMUSG00000000346
65,ENSMUSG00000000355
66,ENSMUSG00000000359
67,ENSMUSG00000000365
68,ENSMUSG00000000374
69,ENSMUSG00000000378
70,ENSMUSG00000000381
71,ENSMUSG00000000384
72,ENSMUSG00000000385
73,ENSMUSG00000000392
74,ENSMUSG00000000394
75,ENSMUSG00000000399
76,ENSMUSG00000000402
77,ENSMUSG00000000409
78,ENSMUSG00000000411
79,ENSMUSG00000000416
80,ENSMUSG00000000420
81,ENSMUSG00000000435
82,ENSMUSG00000000439
83,ENSMUSG00000000440
84,ENSMUSG00000000441
85,ENSMUSG00000000486
86,ENSMUSG00000000489
87,ENSMUSG00000000530
88,ENSMUSG00000000531
89,ENSMUSG00000000532
90,ENSMUSG00000000538
91,ENSMUSG00000000544
92,ENSMUSG00000000552
93,ENSMUSG00000000555
94,ENSMUSG00000000560
95,ENSMUSG00000000561
96,ENSMUSG00000000562
97,ENSMUSG00000000563
98,ENSMUSG00000000567
99,ENSMUSG00000000568
100,ENSMUSG00000000579
101,ENSMUSG00000000581
102,ENSMUSG00000000594
103,ENSMUSG00000000600
104,ENSMUSG00000000605
105,ENSMUSG00000000606
106,ENSMUSG00000000617
107,ENSMUSG00000000627
108,ENSMUSG00000000628
109,ENSMUSG00000000631
110,ENSMUSG00000000632
111,ENSMUSG00000000673
112,ENSMUSG00000000682
113,ENSMUSG00000000686
114,ENSMUSG00000000690
115,ENSMUSG00000000693
116,ENSMUSG00000000701
117,ENSMUSG00000000706
118,ENSMUSG00000000708
119,ENSMUSG00000000711
120,ENSMUSG00000000724
121,ENSMUSG00000000730
122,ENSMUSG00000000731
123,ENSMUSG00000000732
124,ENSMUSG00000000738
125,ENSMUSG00000000739
126,ENSMUSG00000000740
127,ENSMUSG00000000743
128,ENSMUSG00000000751
129,ENSMUSG00000000753
130,ENSMUSG00000000759
131,ENSMUSG00000000766
132,ENSMUSG00000000776
133,ENSMUSG00000000782
134,ENSMUSG00000000787
135,ENSMUSG00000000791
136,ENSMUSG00000000792
137,ENSMUSG00000000794
138,ENSMUSG00000000804
139,ENSMUSG00000000805
140,ENSMUSG00000000811
141,ENSMUSG00000000817
142,ENSMUSG00000000823
143,ENSMUSG00000000826
144,ENSMUSG00000000827
145,ENSMUSG00000000838
146,ENSMUSG00000000861
147,ENSMUSG00000000869
148,ENSMUSG00000000876
149,ENSMUSG00000000881
150,ENSMUSG00000000884
151,ENSMUSG00000000889
152,ENSMUSG00000000901
153,ENSMUSG00000000902
154,ENSMUSG00000000903
155,ENSMUSG00000000915
156,ENSMUSG00000000916
157,ENSMUSG00000000934
158,ENSMUSG00000000938
159,ENSMUSG00000000942
160,ENSMUSG00000000948
161,ENSMUSG00000000957
162,ENSMUSG00000000958
163,ENSMUSG00000000959
164,ENSMUSG00000000976
165,ENSMUSG00000000982
166,ENSMUSG00000000983
167,ENSMUSG00000001014
168,ENSMUSG00000001016
169,ENSMUSG00000001017
170,ENSMUSG00000001018
171,ENSMUSG00000001020
172,ENSMUSG00000001021
173,ENSMUSG00000001023
174,ENSMUSG00000001025
175,ENSMUSG00000001027
176,ENSMUSG00000001029
177,ENSMUSG00000001034
178,ENSMUSG00000001036
179,ENSMUSG00000001039
180,ENSMUSG00000001052
181,ENSMUSG00000001053
182,ENSMUSG00000001054
183,ENSMUSG00000001056
184,ENSMUSG00000001062
185,ENSMUSG00000001065
186,ENSMUSG00000001076
187,ENSMUSG00000001082
188,ENSMUSG00000001089
189,ENSMUSG00000001095
190,ENSMUSG00000001098
191,ENSMUSG00000001100
192,ENSMUSG00000001103
193,ENSMUSG00000001105
194,ENSMUSG00000001119
195,ENSMUSG00000001120
196,ENSMUSG00000001123
197,ENSMUSG00000001127
198,ENSMUSG00000001128
199,ENSMUSG00000001131
200,ENSMUSG00000001134
201,ENSMUSG00000001138
202,ENSMUSG00000001143
203,ENSMUSG00000001150
204,ENSMUSG00000001151
205,ENSMUSG00000001155
206,ENSMUSG00000001156
207,ENSMUSG00000001157
208,ENSMUSG00000001158
209,ENSMUSG00000001166
210,ENSMUSG00000001168
211,ENSMUSG00000001173
212,ENSMUSG00000001175
213,ENSMUSG00000001211
214,ENSMUSG00000001225
215,ENSMUSG00000001227
216,ENSMUSG00000001228
217,ENSMUSG00000001229
218,ENSMUSG00000001240
219,ENSMUSG00000001247
220,ENSMUSG00000001248
221,ENSMUSG00000001249
222,ENSMUSG00000001260
223,ENSMUSG00000001270
224,ENSMUSG00000001280
225,ENSMUSG00000001281
226,ENSMUSG00000001285
227,ENSMUSG00000001288
228,ENSMUSG00000001289
229,ENSMUSG00000001300
230,ENSMUSG00000001305
231,ENSMUSG00000001313
232,ENSMUSG00000001323
233,ENSMUSG00000001333
234,ENSMUSG00000001334
235,ENSMUSG00000001348
236,ENSMUSG00000001349
237,ENSMUSG00000001366
238,ENSMUSG00000001376
239,ENSMUSG00000001380
240,ENSMUSG00000001383
241,ENSMUSG00000001403
242,ENSMUSG00000001415
243,ENSMUSG00000001416
244,ENSMUSG00000001418
245,ENSMUSG00000001419
246,ENSMUSG00000001420
247,ENSMUSG00000001424
248,ENSMUSG00000001435
249,ENSMUSG00000001436
250,ENSMUSG00000001440
251,ENSMUSG00000001441
252,ENSMUSG00000001444
253,ENSMUSG00000001445
254,ENSMUSG00000001467
255,ENSMUSG00000001472
256,ENSMUSG00000001473
257,ENSMUSG00000001482
258,ENSMUSG00000001493
259,ENSMUSG00000001494
260,ENSMUSG00000001496
261,ENSMUSG00000001497
262,ENSMUSG00000001504
263,ENSMUSG00000001506
264,ENSMUSG00000001507
265,ENSMUSG00000001508
266,ENSMUSG00000001510
267,ENSMUSG00000001517
268,ENSMUSG00000001518
269,ENSMUSG00000001520
270,ENSMUSG00000001521
271,ENSMUSG00000001524
272,ENSMUSG00000001525
273,ENSMUSG00000001542
274,ENSMUSG00000001552
275,ENSMUSG00000001555
276,ENSMUSG00000001558
277,ENSMUSG00000001566
278,ENSMUSG00000001569
279,ENSMUSG00000001576
280,ENSMUSG00000001583
281,ENSMUSG00000001588
282,ENSMUSG00000001604
283,ENSMUSG00000001622
284,ENSMUSG00000001627
285,ENSMUSG00000001630
286,ENSMUSG00000001632
287,ENSMUSG00000001642
288,ENSMUSG00000001655
289,ENSMUSG00000001656
290,ENSMUSG00000001657
291,ENSMUSG00000001661
292,ENSMUSG00000001663
293,ENSMUSG00000001665
294,ENSMUSG00000001666
295,ENSMUSG00000001670
296,ENSMUSG00000001672
297,ENSMUSG00000001674
298,ENSMUSG00000001687
299,ENSMUSG00000001700
